FIPS,Yield,Year,Land_Area,Acres_Planted
19127,63.3,2018,572.5,121000
19153,54.6,2018,573.79,68500
19157,59.4,2018,584.93,119000
19169,52.8,2018,572.82,116500
19171,61.4,2018,721.01,144000
19187,52.2,2018,715.62,158000
19011,61,2018,716.26,154500
19031,64.6,2018,579.44,119500
19045,59.6,2018,694.91,120000
19095,57.2,2018,586.46,97600
19097,59.3,2018,636.04,51700
19103,61.2,2018,614.04,92200
19105,61.4,2018,575.62,72800
19113,58.9,2018,716.88,105000
19139,63,2018,437.47,72900
19163,65.1,2018,458.09,68800
19023,56.8,2018,580.13,106000
19033,52.9,2018,568.31,116000
19067,50.8,2018,500.63,97200
19069,59.9,2018,581.97,110000
19081,52.8,2018,571,122500
19091,50.8,2018,434.35,103000
19109,55.5,2018,972.72,222000
19131,56.9,2018,469.13,90400
19189,53,2018,400.49,84800
19195,55,2018,400.12,88600
19197,53.8,2018,580.42,131500
19005,54.1,2018,639.08,32900
19013,59.6,2018,565.77,93900
19017,56.9,2018,435.48,68700
19019,57.8,2018,571.02,83100
19037,52.8,2018,504.38,89600
19043,60.2,2018,778.54,59500
19055,65.3,2018,577.76,63700
19061,63.4,2018,608.3,41400
19065,58.2,2018,730.81,110000
19089,55.5,2018,473.25,87600
19191,52.9,2018,689.87,66600
19021,56.5,2018,574.91,144500
19035,65.5,2018,576.91,135000
19041,53.6,2018,567.24,129500
19059,50.7,2018,380.61,86700
19063,47.5,2018,395.88,90800
19119,61.2,2018,587.65,125000
19141,61,2018,573.04,146000
19143,58.2,2018,398.68,105000
19147,49.7,2018,563.84,118500
19149,62.5,2018,862.89,203000
19151,50.6,2018,577.24,147500
19167,67,2018,768.33,160500
19007,45.9,2018,497.29,47300
19039,48.7,2018,431.17,39000
19053,48.8,2018,531.88,44600
19117,42.3,2018,430.59,39300
19121,51.8,2018,561.01,69000
19125,59.3,2018,554.53,74600
19135,51.3,2018,433.72,30800
19159,48,2018,535.5,58300
19175,49.4,2018,423.65,55900
19181,53,2018,569.83,71600
19185,49.8,2018,525.44,72600
19051,51.1,2018,502.19,53100
19057,64.9,2018,416.12,69200
19087,63.4,2018,434.33,68100
19101,63.1,2018,435.51,69700
19107,58.8,2018,579.18,105000
19111,65.9,2018,517.52,71400
19115,59.1,2018,401.77,71000
19123,60.8,2018,570.86,103000
19177,55.1,2018,484.79,50400
19179,61.2,2018,431.83,55000
19183,62.6,2018,568.84,94100
19001,51,2018,569.27,107000
19003,54.2,2018,423.44,69700
19029,53.5,2018,564.27,122000
19071,51.5,2018,511.15,113000
19137,52.7,2018,424.1,89100
19145,51.4,2018,534.94,109500
19009,51.6,2018,442.96,92100
19025,53.3,2018,569.97,141500
19027,60.4,2018,569.44,114500
19047,62.4,2018,714.19,147500
19073,57,2018,569.57,129500
19077,52.4,2018,590.62,94700
19085,53.9,2018,696.85,136000
19093,65.3,2018,431.51,98700
19133,56.6,2018,694.07,141000
19161,62.1,2018,575.01,143500
19165,59.2,2018,590.78,137500
19193,60.9,2018,872.83,169500
20041,44.1,2018,847.07,106500
20053,48.6,2018,715.85,22300
20115,42.9,2018,944.29,108000
20113,46,2018,898.27,112500
20165,37.8,2018,717.76,6100
20003,48.5,2018,579.65,78700
20031,39.2,2018,626.95,81500
20045,33.9,2018,455.87,39400
20059,43.9,2018,571.76,79500
20061,45.1,2018,384.62,18200
20091,34.6,2018,473.37,25500
20121,42.7,2018,575.66,53200
20127,33.3,2018,695.28,48700
20139,36,2018,705.52,85000
20177,38.2,2018,544.02,41900
20197,31.5,2018,794.3,36000
20027,46.7,2018,645.3,105500
20089,43.4,2018,909.78,109500
20123,43.5,2018,701.79,73800
20157,51.4,2018,717.37,111000
20183,46.3,2018,895.46,78500
20005,47.9,2018,431.17,72500
20013,49.1,2018,570.87,126000
20043,53.8,2018,393.41,70900
20085,40.2,2018,656.22,53500
20117,39.1,2018,900.18,157500
20131,42,2018,717.43,122500
20149,40.5,2018,841.02,45500
20161,39.2,2018,609.77,39500
20065,54.9,2018,898.52,5600
20137,48.3,2018,878.13,15100
20077,29.9,2018,801.27,15400
20079,49.3,2018,539.75,97000
20095,46.5,2018,863.36,24000
20097,63.8,2018,722.64,20000
20151,54.5,2018,735.04,37300
20173,44,2018,997.51,111000
20191,36.2,2018,1181.94,182500
20011,38.7,2018,635.47,42000
20015,48.1,2018,1429.86,91700
20019,34.2,2018,638.88,9900
20037,39.2,2018,589.76,73200
20049,44.1,2018,644.26,17700
20073,35.3,2018,1143.3,33300
20099,34.2,2018,645.29,74400
20125,40.1,2018,643.53,65100
20133,39.4,2018,571.47,58400
20081,65.1,2018,577.52,14100
20083,57.6,2018,859.99,2100
20175,66.3,2018,639.5,13800
20063,51.5,2018,1071.66,3400
20171,52,2018,717.54,1100
20203,53,2018,718.57,1100
21017,48.3,2018,289.72,11000
21021,57,2018,180.17,4100
21049,50.3,2018,252.46,6000
21067,54,2018,283.65,5800
21113,52.7,2018,172.12,2200
21137,50.9,2018,334.09,11500
21151,49.6,2018,437.29,1300
21161,57.5,2018,240.13,11200
21211,58,2018,379.64,30600
21215,59,2018,186.68,10500
21239,58,2018,188.78,4200
21001,55.9,2018,405.28,12000
21027,49.9,2018,567.17,41700
21029,53.4,2018,297.02,5500
21031,51.8,2018,426.09,30200
21057,47.2,2018,305.18,3400
21061,53.2,2018,302.88,13300
21085,51.4,2018,496.7,28000
21087,56.1,2018,286.03,14600
21093,53.9,2018,623.28,45000
21099,56.8,2018,412.09,13600
21155,58.3,2018,343.01,19200
21163,56.1,2018,305.42,25300
21171,50.9,2018,329.37,7800
21207,51.3,2018,253.66,9000
21217,46.7,2018,266.33,17800
21227,54,2018,541.6,40900
21065,35.9,2018,253.08,1900
21089,47.6,2018,344.4,2600
21199,46,2018,658.41,22400
21231,49,2018,458.17,10500
21033,49,2018,344.79,44500
21047,52.6,2018,717.5,87200
21055,52.4,2018,359.95,24100
21059,57.3,2018,458.35,86200
21101,53,2018,436.67,103000
21141,48.7,2018,552.13,81800
21149,59.4,2018,252.47,57100
21177,48.1,2018,467.08,29600
21183,59.6,2018,587.27,42400
21213,52.2,2018,234.2,45900
21219,50.5,2018,374.5,52800
21225,58.5,2018,342.85,66800
21233,55.1,2018,331.94,53100
21015,56.9,2018,246.36,3500
21023,52.9,2018,205.61,1400
21103,49.5,2018,286.28,13400
21185,47,2018,187.22,5000
21187,35.4,2018,351.1,2600
21191,47.8,2018,277.16,3000
21223,46,2018,151.65,5800
21035,43,2018,385.02,50700
21039,52.5,2018,189.43,35500
21083,46.5,2018,551.74,102000
21105,52,2018,242.27,52900
21143,47.2,2018,213.84,12400
21157,44.1,2018,301.25,22700
21221,47.8,2018,441.43,25900
22009,44.9,2018,832.43,101000
22025,45,2018,708.03,87900
22029,55.5,2018,696.92,125500
22039,29.1,2018,662.38,26500
22043,39.8,2018,643.03,7500
22077,52.6,2018,557.35,57500
22079,48.3,2018,1317.96,42600
22097,38.8,2018,923.88,100500
22035,61,2018,420.7,118500
22041,62.2,2018,624.59,64500
22065,59.8,2018,624.44,108500
22067,55,2018,794.93,94000
22083,57.1,2018,559.04,54500
22107,62.5,2018,602.78,80000
22123,61,2018,359.65,55000
22017,40.4,2018,878.54,8600
22081,36.2,2018,389.09,8000
22045,32,2018,574.11,5600
22047,58.4,2018,618.63,14700
22099,30.1,2018,737.65,9100
22001,30,2018,655.12,31800
22053,38.5,2018,651.33,16900
22113,26.2,2018,1173.2,9400
22069,37.8,2018,1252.25,25500
24019,49.6,2018,540.77,48600
24039,40.7,2018,319.72,17900
24045,41.9,2018,374.44,24600
24047,44,2018,468.28,36400
24013,48.4,2018,447.59,28700
24021,53.4,2018,660.22,41200
24025,47.3,2018,437.09,14700
24043,51,2018,457.78,14600
24003,39.1,2018,414.9,4700
24033,35,2018,482.69,2100
24037,38.4,2018,357.18,15300
24011,48.4,2018,319.42,52000
24029,51.8,2018,277.03,46500
24035,48.4,2018,371.91,58700
26057,51.6,2018,568.46,89200
26073,39.7,2018,572.68,60400
26107,39.7,2018,555.07,8900
26111,50.7,2018,516.25,28300
26117,40,2018,705.4,28300
26011,46.4,2018,363.19,20300
26017,56.9,2018,442.3,57300
26063,57.2,2018,835.71,62900
26145,50.9,2018,800.11,120500
26151,53,2018,962.57,139500
26157,50.1,2018,803.13,83500
26055,43,2018,464.33,1500
26015,46.8,2018,553.09,33500
26023,50,2018,506.37,77000
26025,45,2018,706.23,81800
26037,43.4,2018,566.41,70500
26045,48.1,2018,575.17,81500
26059,46.2,2018,598.13,83000
26065,48,2018,556.12,59200
26067,51,2018,571.3,66200
26075,40,2018,701.67,48400
26155,47.7,2018,530.67,98400
26149,52.6,2018,500.59,61500
26049,44.2,2018,636.98,44500
26087,44.7,2018,643.01,48000
26091,51.6,2018,749.55,132000
26093,47.7,2018,565.25,18800
26099,47.6,2018,479.22,27900
26115,45.1,2018,549.39,83800
26125,43.5,2018,867.66,3700
26147,44.9,2018,721.17,70500
26161,43.1,2018,705.97,49700
26163,39.3,2018,612.08,3100
26005,46.7,2018,825.23,44400
26021,47.5,2018,567.75,42200
26027,49.6,2018,490.06,51400
26077,49.6,2018,561.66,35800
26139,49.4,2018,563.47,28700
26105,45.8,2018,495.07,7200
26121,42.8,2018,499.25,9100
26123,39.5,2018,813.2,8300
27009,47,2018,408.3,37700
27019,56.2,2018,354.33,41200
27067,55.5,2018,796.78,108000
27085,51.9,2018,491.47,94700
27097,46,2018,1125.06,39100
27129,55.9,2018,982.91,200500
27143,56.3,2018,588.78,119500
27145,52.4,2018,1343.13,118000
27001,29.5,2018,1821.66,5900
27003,32.6,2018,423.01,5100
27025,38.4,2018,414.86,28500
27053,50.7,2018,553.59,12700
27059,37.8,2018,435.79,29000
27065,39.3,2018,521.59,16500
27163,50.9,2018,384.28,14200
27005,46,2018,1315.2,77400
27027,47.1,2018,1045.37,185500
27029,40.6,2018,998.94,24300
27069,32.6,2018,1098.8,131000
27089,34.7,2018,1775.07,261000
27119,44.1,2018,1971.13,288000
27125,39.2,2018,432.41,81200
27135,35,2018,1671.6,163000
27013,54.7,2018,747.84,168500
27015,53.7,2018,611.09,125500
27043,53.6,2018,712.48,183500
27047,53.6,2018,707.09,155500
27079,52.2,2018,448.76,82500
27091,50.1,2018,712.35,164000
27103,55.2,2018,448.49,88200
27131,57.7,2018,495.68,74400
27147,55.6,2018,429.65,81100
27161,60.9,2018,423.36,87300
27165,54.3,2018,434.95,102500
27037,53.4,2018,562.17,49400
27039,59.1,2018,439.28,89300
27045,55,2018,861.3,99700
27049,57.9,2018,756.84,102000
27099,58.3,2018,711.33,157000
27109,56.6,2018,653.35,75100
27157,59,2018,522.98,44000
27033,53.8,2018,638.61,155500
27063,51,2018,702.98,179500
27083,55.8,2018,714.56,151000
27101,51.7,2018,704.7,172500
27105,49.2,2018,715.11,178500
27127,52.2,2018,878.57,212500
27133,57.7,2018,482.45,110000
27011,53.3,2018,499.02,115500
27023,54.4,2018,581.12,102500
27073,57.8,2018,765.02,177000
27111,45.8,2018,1972.07,177500
27121,52.6,2018,669.71,93900
27149,51.6,2018,563.6,107500
27151,55.7,2018,742.08,130000
27155,53.2,2018,573.9,150000
27167,47.6,2018,750.96,167500
27173,54.9,2018,759.1,170000
28007,45.2,2018,734.98,3100
28015,50.8,2018,628.24,8100
28051,54.3,2018,756.7,26300
28089,47.4,2018,714.51,8700
28121,50.6,2018,775.48,8700
28155,27,2018,420.94,2700
28017,32.8,2018,501.78,38400
28087,35.5,2018,505.51,12400
28095,38.3,2018,765.09,42100
28103,45.7,2018,695.14,13900
28053,60.3,2018,418.49,91300
28055,58.9,2018,413.05,63200
28083,60.4,2018,592.54,123500
28125,60.7,2018,431.72,96200
28133,65.2,2018,697.75,253000
28151,67.3,2018,724.74,228500
28163,55.6,2018,922.95,63300
28009,42.2,2018,406.62,16500
28013,32.7,2018,586.57,25300
28033,45.6,2018,476.15,36800
28071,38,2018,631.71,7300
28093,35.2,2018,706.19,25200
28107,42.5,2018,685.14,28200
28137,55.8,2018,404.76,21700
28003,26.4,2018,400.04,11900
28057,31.4,2018,532.79,13900
28081,35.6,2018,449.95,50100
28115,35.5,2018,497.69,26800
28117,27.1,2018,414.98,21500
28145,35,2018,415.6,25500
28073,45,2018,497.06,1400
28127,39.5,2018,589.16,1900
28147,47.5,2018,403.94,1200
28039,37.7,2018,478.71,1300
28049,45.7,2018,869.74,11500
28149,57.8,2018,588.5,19600
28011,57.3,2018,876.57,303500
28027,57.6,2018,552.44,104500
28119,47.3,2018,405.01,89300
28135,55.6,2018,645.29,112000
28143,47.1,2018,454.67,98700
29059,32.4,2018,540.77,1200
29085,34.4,2018,399.09,3500
29105,29.3,2018,764.72,2300
29125,26.9,2018,526.98,4000
29131,43.2,2018,592.59,5600
29135,37.6,2018,415.03,27800
29141,34.6,2018,597.63,12300
29151,46.1,2018,604.35,15000
29159,43.2,2018,682.22,99100
29167,35.4,2018,635.52,6000
29195,44.6,2018,755.5,146000
29071,42.4,2018,922.68,33700
29073,45.2,2018,517.8,13000
29099,42,2018,656.63,7100
29113,43.3,2018,626.56,74300
29139,43.8,2018,536.25,78700
29157,53,2018,474.35,54400
29183,54.6,2018,560.44,57700
29187,54.3,2018,451.89,3600
29189,49.8,2018,507.8,8900
29186,57.4,2018,499.15,22000
29219,46.8,2018,428.6,33000
29033,40.5,2018,694.62,128000
29079,38.9,2018,435.28,69300
29117,44,2018,532.33,110000
29175,47.4,2018,482.68,51000
29197,38.5,2018,307.3,23100
29007,49.5,2018,692.23,159000
29103,39.5,2018,504.01,86900
29111,44.3,2018,505.04,79400
29137,49.2,2018,647.65,95000
29163,48.9,2018,670.44,82800
29205,47.9,2018,500.86,111000
29005,48,2018,547.3,126000
29049,41.2,2018,418.96,62800
29147,43,2018,876.96,149000
29165,45.2,2018,420.19,52500
29227,39.2,2018,266.61,25900
29123,50,2018,494.39,1200
29069,41.3,2018,541.07,99300
29133,53.6,2018,411.58,171000
29143,50.3,2018,674.84,205000
29155,47.4,2018,492.54,161000
29207,51.8,2018,823.22,186000
29011,37.5,2018,591.92,92700
29043,39.7,2018,562.65,1100
29057,40.1,2018,490.01,28000
29077,35.6,2018,675.3,5000
29097,37.2,2018,638.49,55500
29109,41.7,2018,611.74,15500
29013,49.8,2018,836.69,126000
29083,43.9,2018,696.95,69600
29095,43.3,2018,604.46,33500
29101,41.3,2018,829.28,80500
29107,52.8,2018,628.43,116000
31019,70.6,2018,968.11,98700
31041,64.5,2018,2575.52,96500
31047,73.2,2018,1013.1,73900
31077,60.6,2018,569.81,46200
31079,67.6,2018,546.29,52800
31093,54.2,2018,569.34,50400
31163,63.3,2018,565.83,39200
31175,66.2,2018,568.05,37300
31023,57.1,2018,584.91,125500
31025,56.7,2018,557.45,131600
31037,56.4,2018,411.66,83000
31053,58.3,2018,528.71,120800
31055,60.6,2018,328.45,24700
31081,64.5,2018,542.88,93800
31109,49.8,2018,837.55,138600
31121,59.7,2018,484.88,71400
31141,55.7,2018,674.06,137100
31143,65.3,2018,438.34,90400
31155,55.4,2018,750.23,172000
31159,59.8,2018,571.43,118300
31177,55.5,2018,389.96,81500
31185,61.9,2018,572.51,111700
31015,62,2018,539.94,26500
31071,62.6,2018,569.79,2800
31089,64,2018,2412.4,98800
31103,61.9,2018,773.07,5000
31113,66.3,2018,570.66,11400
31003,60.5,2018,857.22,128900
31011,65.1,2018,686.55,122400
31021,56.3,2018,491.58,117400
31027,61,2018,740.31,136000
31039,59.6,2018,570.62,131400
31107,59.8,2018,1108.35,99800
31119,55.5,2018,572.74,113800
31139,58.3,2018,573.25,110100
31167,61.8,2018,427.95,79000
31173,57.5,2018,393.58,80400
31179,59.2,2018,442.91,103400
31001,67,2018,563.27,96500
31073,67.8,2018,458.16,38500
31083,67.2,2018,553.47,55500
31099,64.6,2018,516.24,91600
31137,68.2,2018,539.79,94600
31181,54.7,2018,574.91,60200
31035,66,2018,572.29,99100
31059,62.8,2018,575.37,124300
31067,52.1,2018,851.49,179500
31095,55.9,2018,570.18,97800
31127,49.8,2018,407.38,92700
31131,45.9,2018,615.63,137700
31133,46.3,2018,431.07,69100
31147,49.9,2018,551.84,108000
31151,57.6,2018,574.02,121200
31169,58,2018,573.81,107400
34005,40.4,2018,798.58,22700
34025,38.5,2018,468.79,5500
34019,46.8,2018,427.82,5900
34041,50.3,2018,356.92,10000
34011,39.9,2018,483.7,11900
34033,37.7,2018,331.9,26300
36011,54.6,2018,691.58,33400
36043,47.3,2018,1411.47,3200
36053,51.7,2018,654.84,4300
36065,44,2018,1212.43,9300
36067,53.8,2018,778.39,12400
36075,46.2,2018,951.65,6400
36045,45.5,2018,1268.59,10000
36021,56.7,2018,634.71,3500
36027,53,2018,795.63,2000
36071,65.2,2018,811.69,2200
36107,44.9,2018,518.6,1600
36109,49.6,2018,474.65,4800
36003,47,2018,1029.31,1200
36101,43.5,2018,1390.56,6000
36029,49.3,2018,1042.69,7100
36037,55.8,2018,492.94,15800
36051,54.1,2018,631.76,25400
36055,54.5,2018,657.21,16900
36063,51.1,2018,522.36,19200
36069,54.5,2018,644.07,24200
36073,51.6,2018,391.26,23900
36099,59,2018,323.71,23400
36117,54.8,2018,603.83,24800
36121,51.1,2018,592.75,4700
36123,59.8,2018,338.14,4600
37013,33.4,2018,827.19,63600
37049,31.1,2018,708.96,23000
37079,37.8,2018,265.93,34400
37095,42.6,2018,612.7,34600
37101,29.9,2018,791.3,53700
37107,28.5,2018,400.59,35300
37137,28.2,2018,336.54,17500
37147,32.8,2018,651.97,59500
37191,31.4,2018,553.09,55300
37195,37.6,2018,368.17,35400
37035,36.3,2018,398.72,9100
37057,39.1,2018,552.67,11700
37059,43.2,2018,264.11,10300
37097,47.4,2018,573.83,15800
37151,36.5,2018,782.52,10600
37159,48.8,2018,511.37,20100
37183,26.1,2018,835.22,12800
37015,35.4,2018,699.27,31700
37029,48,2018,240.56,30600
37041,39.7,2018,172.47,17100
37053,39,2018,261.85,17100
37065,34.9,2018,505.34,41700
37073,38.3,2018,340.44,17900
37083,42.1,2018,724.09,34100
37117,37.2,2018,461.22,22100
37127,34,2018,540.41,29800
37139,44,2018,226.88,49900
37143,37.9,2018,247.09,46300
37177,42.1,2018,389.03,30400
37187,43.4,2018,348.13,40000
37197,47.4,2018,334.83,21300
37001,36.8,2018,423.94,5800
37033,38.8,2018,424.92,3200
37069,37,2018,491.68,18000
37077,33.5,2018,531.57,5000
37081,34.6,2018,645.7,10600
37135,34.8,2018,397.96,3400
37145,33.3,2018,392.32,12400
37157,33.3,2018,565.55,6100
37169,33,2018,448.86,2500
37181,35.8,2018,253.52,6000
37185,36.2,2018,428.46,8800
37017,25.6,2018,874.33,16800
37019,26.5,2018,846.97,7900
37051,27.6,2018,652.31,17600
37061,25.5,2018,816.22,53400
37085,28.8,2018,594.99,28500
37133,18.4,2018,762.74,12000
37155,26.4,2018,949.22,87600
37163,29,2018,944.74,59600
37007,32.5,2018,531.45,14900
37025,35.2,2018,361.75,6000
37045,40.1,2018,464.25,14400
37109,33.1,2018,297.94,10200
37125,24.2,2018,697.84,4400
37179,31.5,2018,631.52,63700
37023,39.2,2018,507.1,900
37039,55.6,2018,455.43,700
37089,49.8,2018,373.07,1200
37161,30.1,2018,564.15,1800
37175,54.3,2018,378.53,1100
38027,25.6,2018,630.17,88500
38043,35.3,2018,1351.19,88000
38093,39.2,2018,2221.72,466000
38103,30.7,2018,1271.05,236000
38003,37.1,2018,1491.55,360500
38017,43.7,2018,1764.94,480000
38039,39,2018,708.81,128500
38091,39.7,2018,712.22,168500
38097,42.3,2018,861.95,193500
38005,29.9,2018,1388.71,199000
