Types,TraitX,TraitY,TraitZ
Z/A,6.7,4.9,7.2
C/K,6.64,4.69,6.95
C/X,6.48,4.73,6.72
Y/H,6.7,4.83,7
B/I,6.58,4.71,7.01
B/T,6.24,4.67,6.75
X/V,6.55,4.72,6.82
G/M,6.82,4.85,6.52
L/H,6.75,4.71,6.58
H/Q,6.55,4.75,6.64
F/Y,6.79,4.82,6.42
U/Z,6.43,4.79,6.78
D/P,6.59,4.71,6.91
Q/Q,6.15,4.71,6.48
T/D,6.53,4.69,6.94
L/Y,6.39,4.93,7.22
Y/G,6.24,4.58,6.58
B/U,6.24,4.56,6.65
Y/K,6.62,4.64,7.12
A/L,6.37,4.77,6.68
M/T,6.62,4.8,7.03
G/L,6.56,4.59,6.78
E/Z,6.39,4.63,6.54
V/K,6.61,4.73,6.83
V/P,6.49,4.61,6.84
T/Y,6.15,4.57,6.58
P/G,6.46,4.62,6.64
T/K,6.74,4.75,6.35
M/N,6.67,4.61,6.41
I/E,6.46,4.65,6.47
X/E,6.71,4.72,6.24
H/M,6.35,4.69,6.61
N/S,6.09,4.85,6.51
D/C,6.33,5.08,7.25
B/D,6.18,4.73,6.61
P/Y,6.18,4.7,6.67
E/R,6.56,4.78,7.15
I/Z,6.31,4.91,6.71
Y/J,6.55,4.94,7.06
P/J,6.5,4.73,6.81
S/N,6.33,4.78,6.57
O/G,6.55,4.87,6.86
V/H,6.43,4.75,6.86
I/G,6.09,4.72,6.61
G/P,6.4,4.77,6.67
F/C,6.67,4.89,6.38
G/A,6.61,4.75,6.44
O/F,6.4,4.8,6.5
K/Z,6.65,4.86,6.27
M/Q,6,4.82,6.57
F/I,5.86,5.07,6.86
H/M,5.7,4.72,6.22
W/B,5.71,4.69,6.28
D/X,6.09,4.77,6.76
X/Z,5.84,4.9,6.32
X/R,6.08,4.93,6.66
Q/Q,6.03,4.72,6.41
Y/X,5.86,4.77,6.18
E/V,6.08,4.86,6.46
G/G,5.96,4.74,6.47
F/H,5.62,4.71,6.21
C/F,5.93,4.76,6.28
F/S,6.2,4.88,5.99
C/M,6.14,4.74,6.04
C/O,5.93,4.78,6.1
X/H,6.18,4.85,5.88
Z/Z,5.81,4.82,6.25
N/Q,6.27,5.05,7.28
U/B,6.11,4.7,6.65
X/T,6.12,4.68,6.71
R/S,6.5,4.76,7.19
C/G,6.25,4.89,6.75
W/H,6.49,4.92,7.09
Q/F,6.44,4.71,6.84
B/Q,6.27,4.75,6.61
C/Y,6.49,4.85,6.89
E/I,6.37,4.73,6.9
M/M,6.03,4.7,6.64
K/C,6.34,4.74,6.71
F/N,6.61,4.87,6.42
M/W,6.55,4.73,6.47
Y/S,6.34,4.77,6.53
J/G,6.59,4.84,6.31
C/E,5.97,4.94,6.92
Z/J,5.98,4.91,6.98
W/G,6.35,4.99,7.46
P/K,6.1,5.13,7.02
E/H,6.35,5.15,7.37
F/Q,6.29,4.95,7.12
M/W,6.13,4.99,6.88
L/E,6.35,5.09,7.17
W/C,6.23,4.96,7.17
T/L,5.88,4.93,6.92
H/D,6.2,4.98,6.98
A/K,6.47,5.11,6.69
V/J,6.4,4.96,6.75
A/G,6.2,5.01,6.81
S/X,6.44,5.08,6.58
H/B,6.08,5.04,6.95
H/W,5.8,4.57,6.38
Z/I,6.17,4.65,6.86
N/N,5.92,4.78,6.42
S/W,6.17,4.81,6.76
X/O,6.11,4.6,6.52
Q/B,5.95,4.64,6.28
Y/Z,6.16,4.74,6.56
C/H,6.05,4.62,6.57
U/J,5.7,4.59,6.31
Q/D,6.01,4.64,6.38
G/R,6.29,4.76,6.09
O/K,6.22,4.62,6.15
V/U,6.02,4.66,6.2
K/Q,6.26,4.73,5.98
U/K,5.9,4.7,6.35
O/Z,6.17,4.62,6.93
M/U,5.92,4.75,6.49
U/H,6.17,4.78,6.83
L/B,6.11,4.57,6.58
T/L,5.95,4.62,6.34
F/E,6.17,4.72,6.63
L/L,6.05,4.59,6.64
V/K,5.7,4.56,6.38
J/C,6.02,4.61,6.45
X/F,6.29,4.73,6.15
U/X,6.22,4.59,6.21
T/Y,6.02,4.64,6.27
V/E,6.26,4.7,6.04
K/J,5.9,4.67,6.41
Q/S,6.31,4.83,6.96
Z/A,6.56,4.85,7.3
X/Z,6.5,4.65,7.05
Q/M,6.34,4.69,6.81
N/E,6.56,4.79,7.1
X/W,6.44,4.66,7.11
V/T,6.09,4.63,6.85
F/W,6.4,4.68,6.91
S/J,6.68,4.81,6.62
C/G,6.61,4.66,6.68
G/T,6.41,4.71,6.74
J/V,6.65,4.78,6.51
S/S,6.29,4.74,6.88
I/D,6.34,4.99,6.84
W/S,6.28,4.78,6.59
D/L,6.12,4.82,6.35
A/X,6.33,4.92,6.64
B/Q,6.21,4.8,6.64
H/S,5.87,4.77,6.39
Z/D,6.18,4.81,6.45
G/G,6.46,4.94,6.16
L/S,6.39,4.8,6.22
D/W,6.19,4.84,6.27
P/V,6.43,4.91,6.05
M/R,6.07,4.88,6.42
N/B,6.52,4.82,6.97
J/P,6.35,4.87,6.73
T/W,6.45,4.84,7.03
L/X,6.11,4.81,6.77
O/W,6.42,4.86,6.83
E/W,6.7,4.98,6.54
K/B,6.63,4.84,6.6
I/J,6.42,4.89,6.66
X/C,6.67,4.95,6.43
W/L,6.31,4.92,6.8
F/I,6.26,4.65,6.48
V/O,6.48,4.75,6.77
I/U,6.36,4.62,6.77
W/V,6.02,4.59,6.51
N/R,6.33,4.64,6.58
N/R,6.6,4.77,6.29
D/Z,6.53,4.62,6.35
M/Q,6.33,4.67,6.4
B/Y,6.57,4.74,6.18
L/H,6.21,4.7,6.55
P/V,6.33,4.79,6.53
B/W,6.21,4.67,6.54
G/B,5.87,4.64,6.28
K/N,6.18,4.69,6.34
B/N,6.45,4.81,6.05
C/Z,6.18,4.71,6.17
A/Y,6.42,4.78,5.94
Z/B,6.06,4.75,6.31
W/Z,6.45,4.76,6.82
K/D,6.1,4.73,6.56
H/E,6.41,4.78,6.63
S/J,6.69,4.9,6.34
L/M,6.62,4.76,6.39
O/O,6.42,4.81,6.45
M/P,6.66,4.87,6.23
K/D,6.3,4.84,6.59
B/W,5.97,4.61,6.58
N/M,6.28,4.66,6.64
S/C,6.56,4.79,6.35
I/E,6.49,4.64,6.41
R/Q,6.29,4.69,6.47
R/W,6.53,4.76,6.24
A/L,6.17,4.73,6.61
A/D,5.92,4.64,6.41
B/K,6.19,4.76,6.12
T/N,6.12,4.62,6.18
F/M,5.92,4.66,6.23
M/A,6.16,4.73,6.01
H/P,5.8,4.7,6.38
I/Y,6.53,4.8,6.14
Q/T,6.46,4.66,6.2
N/N,6.25,4.7,6.26
K/P,6.5,4.77,6.04
J/O,6.13,4.74,6.4
Y/O,6.74,4.78,5.92
V/I,6.53,4.82,5.98
H/E,6.41,4.86,6.12
N/I,6.48,4.68,6.03
B/X,6.72,4.75,5.81
D/E,6.36,4.71,6.18
S/B,6.51,4.8,5.87
O/J,6.15,4.77,6.24
F/U,6.39,4.83,6.01
